disp,  forc,  time
0.0000E+00   -0.0000E+00    0.0000E+00 
1.0000E-03   1.3565E+02    1.0000E-02 
2.0000E-03   2.7128E+02    2.0000E-02 
3.0000E-03   4.0691E+02    3.0000E-02 
4.0000E-03   5.4252E+02    4.0000E-02 
5.0000E-03   6.7813E+02    5.0000E-02 
6.0000E-03   8.1369E+02    6.0000E-02 
7.0000E-03   9.4875E+02    7.0000E-02 
8.0000E-03   1.0826E+03    8.0000E-02 
9.0000E-03   1.2146E+03    9.0000E-02 
1.0000E-02   1.3445E+03    1.0000E-01 
1.1000E-02   1.4715E+03    1.1000E-01 
1.2000E-02   1.5943E+03    1.2000E-01 
1.3000E-02   1.7123E+03    1.3000E-01 
1.4000E-02   1.8207E+03    1.4000E-01 
1.5000E-02   1.9084E+03    1.5000E-01 
1.6000E-02   1.9715E+03    1.6000E-01 
1.7000E-02   1.9950E+03    1.7000E-01 
1.8000E-02   1.9985E+03    1.8000E-01 
1.9000E-02   2.0004E+03    1.9000E-01 
2.0000E-02   2.0018E+03    2.0000E-01 
2.1000E-02   2.0027E+03    2.1000E-01 
2.2000E-02   2.0035E+03    2.2000E-01 
2.3000E-02   2.0040E+03    2.3000E-01 
2.4000E-02   2.0045E+03    2.4000E-01 
2.5000E-02   2.0048E+03    2.5000E-01 
2.6000E-02   2.0050E+03    2.6000E-01 
2.7000E-02   2.0052E+03    2.7000E-01 
2.8000E-02   2.0053E+03    2.8000E-01 
2.9000E-02   2.0054E+03    2.9000E-01 
3.0000E-02   2.0055E+03    3.0000E-01 
3.1000E-02   2.0055E+03    3.1000E-01 
3.2000E-02   2.0054E+03    3.2000E-01 
3.3000E-02   2.0053E+03    3.3000E-01 
3.4000E-02   2.0053E+03    3.4000E-01 
3.5000E-02   2.0051E+03    3.5000E-01 
3.6000E-02   2.0050E+03    3.6000E-01 
3.7000E-02   2.0049E+03    3.7000E-01 
3.8000E-02   2.0047E+03    3.8000E-01 
3.9000E-02   2.0045E+03    3.9000E-01 
4.0000E-02   2.0044E+03    4.0000E-01 
4.1000E-02   2.0042E+03    4.1000E-01 
4.2000E-02   2.0039E+03    4.2000E-01 
4.3000E-02   2.0037E+03    4.3000E-01 
4.4000E-02   2.0035E+03    4.4000E-01 
4.5000E-02   2.0033E+03    4.5000E-01 
4.6000E-02   2.0030E+03    4.6000E-01 
4.7000E-02   2.0027E+03    4.7000E-01 
4.8000E-02   2.0025E+03    4.8000E-01 
4.9000E-02   2.0022E+03    4.9000E-01 
5.0000E-02   2.0019E+03    5.0000E-01 
